Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF
Fan,73,6.79,4,22,Rubavu,High,6,1098.39,50+ kWh,397935.91
TV,145,4.58,1,28,Muhanga,Low,3,40.82,21-50 kWh,8234.2
Iron,1184,0.87,1,8,Muhanga,Low,3,40.82,21-50 kWh,8234.2
Radio,25,2.72,1,27,Muhanga,Low,3,40.82,21-50 kWh,8234.2
Phone Charger,9,2.47,1,27,Muhanga,Low,3,40.82,21-50 kWh,8234.2
Fan,74,2.32,2,19,Muhanga,Low,3,40.82,21-50 kWh,8234.2
LED Lamp,11,5.08,3,30,Muhanga,Low,3,40.82,21-50 kWh,8234.2
Fan,70,3.03,2,26,Kigali,Medium,4,147.63,50+ kWh,47105.47
Electric Kettle,1385,0.89,1,26,Kigali,Medium,4,147.63,50+ kWh,47105.47
LED Lamp,12,4.88,4,28,Kigali,Medium,4,147.63,50+ kWh,47105.47
Refrigerator,103,24.0,1,30,Kigali,Medium,4,147.63,50+ kWh,47105.47
Washing Machine,465,1.98,1,12,Kigali,Medium,4,147.63,50+ kWh,47105.47
Blender,501,0.6,1,18,Kigali,Medium,4,147.63,50+ kWh,47105.47
Phone Charger,6,4.93,2,26,Kigali,Medium,4,147.63,50+ kWh,47105.47
Laptop,51,2.2,2,26,Kigali,Medium,4,147.63,50+ kWh,47105.47
Iron,914,1.8,1,4,Kigali,Medium,4,167.28,50+ kWh,54356.32
Electric Kettle,1486,0.75,1,20,Kigali,Medium,4,167.28,50+ kWh,54356.32
TV,66,4.42,1,25,Kigali,Medium,4,167.28,50+ kWh,54356.32
Refrigerator,159,24.0,1,30,Kigali,Medium,4,167.28,50+ kWh,54356.32
LED Lamp,14,6.43,4,30,Kigali,Medium,4,167.28,50+ kWh,54356.32
Phone Charger,6,5.33,4,26,Kigali,Medium,4,167.28,50+ kWh,54356.32
Blender,355,0.59,1,12,Kigali,Medium,4,167.28,50+ kWh,54356.32
Fan,42,6.08,4,28,Rubavu,High,5,657.35,50+ kWh,235192.15
Refrigerator,108,24.0,2,30,Rubavu,High,5,657.35,50+ kWh,235192.15
TV,103,7.29,1,25,Rubavu,High,5,657.35,50+ kWh,235192.15
Washing Machine,585,2.45,1,11,Rubavu,High,5,657.35,50+ kWh,235192.15
AC,1813,5.74,2,18,Rubavu,High,5,657.35,50+ kWh,235192.15
Phone Charger,12,5.74,6,30,Rubavu,High,5,657.35,50+ kWh,235192.15
Blender,465,0.93,2,9,Rubavu,High,5,657.35,50+ kWh,235192.15
Laptop,68,4.22,2,27,Rubavu,High,5,657.35,50+ kWh,235192.15
Iron,972,1.06,2,9,Rubavu,High,5,657.35,50+ kWh,235192.15
LED Lamp,12,6.06,5,27,Rubavu,High,5,657.35,50+ kWh,235192.15
Water Heater,2776,2.48,2,27,Kigali,High,7,1001.92,50+ kWh,362338.48
LED Lamp,12,8.96,7,25,Kigali,High,7,1001.92,50+ kWh,362338.48
AC,1953,5.62,1,17,Kigali,High,7,1001.92,50+ kWh,362338.48
Refrigerator,184,24.0,2,30,Kigali,High,7,1001.92,50+ kWh,362338.48
TV,117,5.38,3,30,Kigali,High,7,1001.92,50+ kWh,362338.48
Washing Machine,580,2.55,1,8,Kigali,High,7,1001.92,50+ kWh,362338.48
Blender,428,0.62,2,19,Kigali,High,7,1001.92,50+ kWh,362338.48
Electric Kettle,1061,1.74,2,22,Kigali,High,7,1001.92,50+ kWh,362338.48
Phone Charger,9,3.04,2,29,Kigali,Medium,4,225.74,50+ kWh,75928.06
Iron,823,2.45,1,12,Kigali,Medium,4,225.74,50+ kWh,75928.06
TV,139,5.83,2,30,Kigali,Medium,4,225.74,50+ kWh,75928.06
Electric Kettle,1052,1.37,1,29,Kigali,Medium,4,225.74,50+ kWh,75928.06
Fan,70,5.39,2,25,Kigali,Medium,4,225.74,50+ kWh,75928.06
Laptop,43,3.01,1,27,Kigali,Medium,4,225.74,50+ kWh,75928.06
Blender,333,0.5,1,9,Kigali,Medium,4,225.74,50+ kWh,75928.06
Refrigerator,119,24.0,1,30,Kigali,Medium,4,225.74,50+ kWh,75928.06
Iron,952,1.79,1,10,Kigali,Low,6,40.74,21-50 kWh,8209.4
TV,122,3.86,1,29,Kigali,Low,6,40.74,21-50 kWh,8209.4
Phone Charger,6,3.9,3,26,Kigali,Low,6,40.74,21-50 kWh,8209.4
Radio,13,3.98,1,22,Kigali,Low,6,40.74,21-50 kWh,8209.4
Fan,51,4.21,1,20,Kigali,Low,6,40.74,21-50 kWh,8209.4
LED Lamp,11,4.35,2,29,Kigali,Low,6,40.74,21-50 kWh,8209.4
TV,150,4.37,1,29,Musanze,Low,4,33.26,21-50 kWh,5890.6
Fan,67,2.46,1,22,Musanze,Low,4,33.26,21-50 kWh,5890.6
LED Lamp,9,5.48,3,25,Musanze,Low,4,33.26,21-50 kWh,5890.6
Radio,10,4.38,1,29,Musanze,Low,4,33.26,21-50 kWh,5890.6
Iron,1024,0.69,1,8,Musanze,Low,4,33.26,21-50 kWh,5890.6
TV,123,6.35,3,25,Nyagatare,High,6,366.27,50+ kWh,127783.63
Washing Machine,695,1.56,1,6,Nyagatare,High,6,366.27,50+ kWh,127783.63
LED Lamp,13,8.26,7,27,Nyagatare,High,6,366.27,50+ kWh,127783.63
Electric Kettle,1299,1.44,1,27,Nyagatare,High,6,366.27,50+ kWh,127783.63
Blender,540,0.67,1,13,Nyagatare,High,6,366.27,50+ kWh,127783.63
Laptop,82,3.52,2,22,Nyagatare,High,6,366.27,50+ kWh,127783.63
Iron,1010,2.39,2,8,Nyagatare,High,6,366.27,50+ kWh,127783.63
Fan,65,8.88,4,16,Nyagatare,High,6,366.27,50+ kWh,127783.63
Water Heater,2090,2.63,1,25,Nyagatare,High,6,366.27,50+ kWh,127783.63
LED Lamp,15,5.77,6,25,Kigali,Medium,8,231.55,50+ kWh,78071.95
Phone Charger,9,4.65,2,27,Kigali,Medium,8,231.55,50+ kWh,78071.95
Fan,71,3.61,2,22,Kigali,Medium,8,231.55,50+ kWh,78071.95
Electric Kettle,1159,1.05,1,28,Kigali,Medium,8,231.55,50+ kWh,78071.95
Washing Machine,447,1.22,1,5,Kigali,Medium,8,231.55,50+ kWh,78071.95
TV,65,4.94,2,26,Kigali,Medium,8,231.55,50+ kWh,78071.95
Iron,1166,1.08,1,8,Kigali,Medium,8,231.55,50+ kWh,78071.95
Laptop,70,5.92,2,23,Kigali,Medium,8,231.55,50+ kWh,78071.95
Refrigerator,170,24.0,1,30,Kigali,Medium,8,231.55,50+ kWh,78071.95
Iron,944,1.95,1,11,Muhanga,Medium,3,65.95,50+ kWh,16965.55
Electric Kettle,1228,1.04,1,25,Muhanga,Medium,3,65.95,50+ kWh,16965.55
Blender,582,0.68,1,14,Muhanga,Medium,3,65.95,50+ kWh,16965.55
Washing Machine,564,1.87,1,7,Muhanga,Medium,3,65.95,50+ kWh,16965.55
Radio,12,2.71,1,26,Muhanga,Medium,3,65.95,50+ kWh,16965.55
Electric Kettle,1447,1.35,1,21,Kigali,Medium,7,113.46,50+ kWh,34496.74
Laptop,40,4.89,2,26,Kigali,Medium,7,113.46,50+ kWh,34496.74
Fan,49,3.37,3,23,Kigali,Medium,7,113.46,50+ kWh,34496.74
LED Lamp,14,6.77,5,30,Kigali,Medium,7,113.46,50+ kWh,34496.74
TV,92,5.56,1,29,Kigali,Medium,7,113.46,50+ kWh,34496.74
Iron,962,1.75,1,11,Kigali,Medium,7,113.46,50+ kWh,34496.74
Blender,335,0.42,1,18,Kigali,Medium,7,113.46,50+ kWh,34496.74
Radio,12,2.49,1,26,Kigali,Medium,7,113.46,50+ kWh,34496.74
Fan,43,4.47,2,26,Muhanga,Medium,7,34.67,21-50 kWh,6327.7
Laptop,49,2.98,2,26,Muhanga,Medium,7,34.67,21-50 kWh,6327.7
Iron,887,0.85,1,10,Muhanga,Medium,7,34.67,21-50 kWh,6327.7
LED Lamp,12,7.65,4,26,Muhanga,Medium,7,34.67,21-50 kWh,6327.7
Fan,68,5.78,1,24,Musanze,Low,4,11.5,0-20 kWh,1023.5
Radio,13,3.37,1,24,Musanze,Low,4,11.5,0-20 kWh,1023.5
Phone Charger,11,3.71,1,25,Musanze,Low,4,11.5,0-20 kWh,1023.5
Iron,946,2.05,1,7,Kigali,Medium,6,91.67,50+ kWh,26456.23
LED Lamp,8,6.55,5,29,Kigali,Medium,6,91.67,50+ kWh,26456.23
Electric Kettle,1347,1.26,1,30,Kigali,Medium,6,91.67,50+ kWh,26456.23
Fan,42,4.54,3,29,Kigali,Medium,6,91.67,50+ kWh,26456.23
Phone Charger,14,4.09,2,26,Kigali,Medium,6,91.67,50+ kWh,26456.23
Phone Charger,9,3.83,1,28,Kigali,Low,7,38.86,21-50 kWh,7626.6
TV,145,4.61,1,25,Kigali,Low,7,38.86,21-50 kWh,7626.6
Iron,838,0.71,1,7,Kigali,Low,7,38.86,21-50 kWh,7626.6
Radio,22,3.1,1,26,Kigali,Low,7,38.86,21-50 kWh,7626.6
Fan,56,4.15,1,29,Kigali,Low,7,38.86,21-50 kWh,7626.6
LED Lamp,15,5.25,4,27,Kigali,Low,7,38.86,21-50 kWh,7626.6
Washing Machine,712,1.22,1,5,Rubavu,Medium,4,166.75,50+ kWh,54160.75
Refrigerator,189,24.0,1,30,Rubavu,Medium,4,166.75,50+ kWh,54160.75
Fan,48,3.23,1,16,Rubavu,Medium,4,166.75,50+ kWh,54160.75
LED Lamp,12,4.46,5,26,Rubavu,Medium,4,166.75,50+ kWh,54160.75
Iron,998,1.41,1,12,Rubavu,Medium,4,166.75,50+ kWh,54160.75
Washing Machine,627,1.95,1,9,Huye,Medium,3,103.73,50+ kWh,30906.37
TV,137,4.1,1,30,Huye,Medium,3,103.73,50+ kWh,30906.37
Fan,43,4.99,2,21,Huye,Medium,3,103.73,50+ kWh,30906.37
Electric Kettle,1485,1.35,1,27,Huye,Medium,3,103.73,50+ kWh,30906.37
Laptop,82,2.85,1,30,Huye,Medium,3,103.73,50+ kWh,30906.37
LED Lamp,5,7.15,3,26,Huye,Medium,3,103.73,50+ kWh,30906.37
Phone Charger,14,3.62,2,29,Huye,Medium,3,103.73,50+ kWh,30906.37
Laptop,51,2.44,2,20,Rubavu,Medium,3,57.8,50+ kWh,13958.2
LED Lamp,10,7.16,3,26,Rubavu,Medium,3,57.8,50+ kWh,13958.2
Iron,808,0.85,1,4,Rubavu,Medium,3,57.8,50+ kWh,13958.2
Electric Kettle,1379,0.92,1,21,Rubavu,Medium,3,57.8,50+ kWh,13958.2
TV,110,4.34,1,27,Rubavu,Medium,3,57.8,50+ kWh,13958.2
Blender,531,0.55,1,17,Rubavu,Medium,3,57.8,50+ kWh,13958.2
Iron,837,2.3,1,9,Kigali,Medium,8,253.63,50+ kWh,86219.47
Fan,49,3.33,3,23,Kigali,Medium,8,253.63,50+ kWh,86219.47
LED Lamp,11,7.98,5,29,Kigali,Medium,8,253.63,50+ kWh,86219.47
Phone Charger,12,4.52,3,28,Kigali,Medium,8,253.63,50+ kWh,86219.47
Refrigerator,189,24.0,1,30,Kigali,Medium,8,253.63,50+ kWh,86219.47
Electric Kettle,1231,1.39,1,26,Kigali,Medium,8,253.63,50+ kWh,86219.47
Blender,532,0.5,1,19,Kigali,Medium,8,253.63,50+ kWh,86219.47
TV,104,3.94,2,27,Kigali,Medium,8,253.63,50+ kWh,86219.47
LED Lamp,6,5.23,5,27,Huye,Low,5,18.89,0-20 kWh,1681.21
TV,121,2.18,1,29,Huye,Low,5,18.89,0-20 kWh,1681.21
Iron,1143,0.68,1,9,Huye,Low,5,18.89,0-20 kWh,1681.21
LED Lamp,6,6.75,5,29,Rusizi,High,5,546.9,50+ kWh,194436.1
Iron,858,2.53,2,7,Rusizi,High,5,546.9,50+ kWh,194436.1
Washing Machine,687,2.96,1,12,Rusizi,High,5,546.9,50+ kWh,194436.1
Fan,57,4.17,2,23,Rusizi,High,5,546.9,50+ kWh,194436.1
Blender,473,0.68,2,10,Rusizi,High,5,546.9,50+ kWh,194436.1
TV,122,6.63,1,25,Rusizi,High,5,546.9,50+ kWh,194436.1
Phone Charger,15,7.89,4,25,Rusizi,High,5,546.9,50+ kWh,194436.1
Electric Kettle,1192,1.42,1,25,Rusizi,High,5,546.9,50+ kWh,194436.1
Water Heater,2319,3.44,1,29,Rusizi,High,5,546.9,50+ kWh,194436.1
Laptop,45,7.42,3,22,Rusizi,High,5,546.9,50+ kWh,194436.1
Refrigerator,196,24.0,1,30,Rusizi,High,5,546.9,50+ kWh,194436.1
Fan,58,6.39,1,30,Kigali,Medium,5,207.43,50+ kWh,69171.67
Electric Kettle,1023,0.72,1,29,Kigali,Medium,5,207.43,50+ kWh,69171.67
Iron,803,0.91,1,7,Kigali,Medium,5,207.43,50+ kWh,69171.67
Refrigerator,197,24.0,1,30,Kigali,Medium,5,207.43,50+ kWh,69171.67
Phone Charger,12,5.24,2,26,Kigali,Medium,5,207.43,50+ kWh,69171.67
LED Lamp,11,6.13,4,26,Kigali,Medium,5,207.43,50+ kWh,69171.67
Laptop,44,3.59,2,20,Kigali,Medium,5,207.43,50+ kWh,69171.67
TV,52,4.38,2,25,Kigali,Medium,5,207.43,50+ kWh,69171.67
Washing Machine,753,1.92,1,5,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Electric Kettle,1432,0.61,1,26,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Iron,1068,0.66,1,8,Rusizi,Medium,6,189.36,50+ kWh,62503.84
TV,78,4.0,2,26,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Refrigerator,165,24.0,1,30,Rusizi,Medium,6,189.36,50+ kWh,62503.84
LED Lamp,10,6.91,5,30,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Laptop,55,2.41,1,24,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Fan,51,6.01,1,17,Rusizi,Medium,6,189.36,50+ kWh,62503.84
Radio,7,1.94,1,30,Kigali,Medium,5,96.37,50+ kWh,28190.53
Washing Machine,540,1.59,1,9,Kigali,Medium,5,96.37,50+ kWh,28190.53
Fan,44,4.55,3,29,Kigali,Medium,5,96.37,50+ kWh,28190.53
Blender,329,0.48,1,12,Kigali,Medium,5,96.37,50+ kWh,28190.53
Electric Kettle,1330,1.36,1,21,Kigali,Medium,5,96.37,50+ kWh,28190.53
Phone Charger,14,4.52,4,28,Kigali,Medium,5,96.37,50+ kWh,28190.53
Laptop,68,5.64,1,29,Kigali,Medium,5,96.37,50+ kWh,28190.53
TV,91,4.82,1,29,Kigali,Medium,5,96.37,50+ kWh,28190.53
TV,106,3.57,1,29,Kigali,Low,2,25.66,21-50 kWh,3534.6
LED Lamp,10,4.12,3,27,Kigali,Low,2,25.66,21-50 kWh,3534.6
Phone Charger,11,3.55,2,30,Kigali,Low,2,25.66,21-50 kWh,3534.6
Iron,1123,1.47,1,5,Kigali,Low,2,25.66,21-50 kWh,3534.6
Radio,8,3.67,1,26,Kigali,Low,2,25.66,21-50 kWh,3534.6
Laptop,59,4.24,1,30,Kigali,Medium,7,192.37,50+ kWh,63614.53
Blender,365,0.64,1,19,Kigali,Medium,7,192.37,50+ kWh,63614.53
TV,132,5.01,1,29,Kigali,Medium,7,192.37,50+ kWh,63614.53
Washing Machine,409,1.36,1,6,Kigali,Medium,7,192.37,50+ kWh,63614.53
Fan,61,7.74,1,30,Kigali,Medium,7,192.37,50+ kWh,63614.53
Electric Kettle,1115,1.5,1,22,Kigali,Medium,7,192.37,50+ kWh,63614.53
Refrigerator,137,24.0,1,30,Kigali,Medium,7,192.37,50+ kWh,63614.53
Phone Charger,13,5.51,4,29,Kigali,Medium,7,192.37,50+ kWh,63614.53
Washing Machine,610,2.05,1,7,Rubavu,High,6,1028.3,50+ kWh,372072.7
Electric Kettle,1312,1.28,2,27,Rubavu,High,6,1028.3,50+ kWh,372072.7
Laptop,74,4.2,1,27,Rubavu,High,6,1028.3,50+ kWh,372072.7
Phone Charger,10,6.71,4,29,Rubavu,High,6,1028.3,50+ kWh,372072.7
AC,2445,7.08,1,22,Rubavu,High,6,1028.3,50+ kWh,372072.7
Water Heater,2540,2.84,2,22,Rubavu,High,6,1028.3,50+ kWh,372072.7
Blender,370,0.94,1,8,Rubavu,High,6,1028.3,50+ kWh,372072.7
Refrigerator,147,24.0,2,30,Rubavu,High,6,1028.3,50+ kWh,372072.7
TV,78,5.45,1,27,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Laptop,66,2.21,1,28,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Iron,920,1.27,1,5,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Fan,54,3.14,2,18,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Phone Charger,15,4.01,4,26,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Refrigerator,136,24.0,1,30,Nyagatare,Medium,2,131.68,50+ kWh,41219.92
Fan,49,4.2,1,28,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
Iron,1197,0.93,1,8,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
LED Lamp,5,3.72,2,30,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
TV,58,2.33,1,28,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
Radio,25,3.55,1,23,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
Phone Charger,7,2.58,3,25,Nyagatare,Low,7,22.96,21-50 kWh,2697.6
TV,99,4.62,1,25,Rubavu,Low,5,31.5,21-50 kWh,5345.0
LED Lamp,10,3.76,5,25,Rubavu,Low,5,31.5,21-50 kWh,5345.0
Radio,7,3.03,1,30,Rubavu,Low,5,31.5,21-50 kWh,5345.0
Iron,1195,1.37,1,9,Rubavu,Low,5,31.5,21-50 kWh,5345.0
TV,67,2.19,1,28,Kigali,Low,4,30.94,21-50 kWh,5171.4
Fan,58,2.81,1,21,Kigali,Low,4,30.94,21-50 kWh,5171.4
Iron,961,1.9,1,12,Kigali,Low,4,30.94,21-50 kWh,5171.4
Radio,22,3.42,1,20,Kigali,Low,4,30.94,21-50 kWh,5171.4
TV,97,3.31,1,28,Nyagatare,Low,4,27.43,21-50 kWh,4083.3
Radio,17,3.02,1,22,Nyagatare,Low,4,27.43,21-50 kWh,4083.3
Iron,1154,1.25,1,12,Nyagatare,Low,4,27.43,21-50 kWh,4083.3
Fan,60,2.41,2,25,Kigali,Low,5,19.23,0-20 kWh,1711.47
Iron,956,1.17,1,10,Kigali,Low,5,19.23,0-20 kWh,1711.47
Phone Charger,12,2.7,1,25,Kigali,Low,5,19.23,0-20 kWh,1711.47
Iron,1111,2.36,1,11,Nyagatare,High,6,452.08,50+ kWh,159447.52
Phone Charger,7,4.27,3,30,Nyagatare,High,6,452.08,50+ kWh,159447.52
LED Lamp,10,6.91,6,29,Nyagatare,High,6,452.08,50+ kWh,159447.52
TV,127,4.61,1,28,Nyagatare,High,6,452.08,50+ kWh,159447.52
Electric Kettle,1190,1.44,2,21,Nyagatare,High,6,452.08,50+ kWh,159447.52
Blender,571,0.68,1,13,Nyagatare,High,6,452.08,50+ kWh,159447.52
AC,2070,5.0,2,13,Nyagatare,High,6,452.08,50+ kWh,159447.52
Washing Machine,655,2.28,1,12,Nyagatare,High,6,452.08,50+ kWh,159447.52
Fan,56,8.65,2,29,Nyagatare,High,6,452.08,50+ kWh,159447.52
Refrigerator,185,24.0,1,30,Kigali,Medium,7,223.0,50+ kWh,74917.0
TV,88,5.55,2,30,Kigali,Medium,7,223.0,50+ kWh,74917.0
Laptop,90,3.45,1,23,Kigali,Medium,7,223.0,50+ kWh,74917.0
Fan,55,6.95,1,15,Kigali,Medium,7,223.0,50+ kWh,74917.0
Electric Kettle,1283,1.07,1,27,Kigali,Medium,7,223.0,50+ kWh,74917.0
