Household_ID,Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF,Month
HH00051,Microwave,966,2.9,3,25,Southern,High,1,210.1,50+ kWh,77526.9,January
HH00052,Mobile Charger,9,2.0,1,31,Eastern,Low,1,0.56,0-20 kWh,49.84,July
HH00053,Stove,1702,4.1,3,25,Kigali,Low,3,523.37,50+ kWh,193123.53,October
HH00054,Microwave,1142,8.7,2,31,Kigali,Medium,7,615.99,50+ kWh,227300.31,August
HH00055,Iron,1180,6.4,2,25,Northern,Medium,2,377.6,50+ kWh,139334.4,May
HH00056,Iron,1193,5.2,1,23,Western,Low,3,142.68,50+ kWh,52648.92,May
HH00057,Stove,1832,1.1,3,22,Western,High,1,133.0,50+ kWh,49077.0,February
HH00058,Washing Machine,828,4.6,2,23,Northern,Low,6,175.2,50+ kWh,64648.8,March
HH00059,Laptop,54,5.8,2,23,Eastern,High,1,14.41,0-20 kWh,1282.49,April
HH00060,Radio,21,8.8,1,29,Kigali,High,6,5.36,0-20 kWh,477.04,July
HH00061,Laptop,48,7.5,1,23,Eastern,Low,3,8.28,0-20 kWh,736.92,March
HH00062,Fan,61,2.1,1,20,Eastern,High,8,2.56,0-20 kWh,227.84,January
HH00063,Mobile Charger,7,6.8,1,29,Southern,High,4,1.38,0-20 kWh,122.82,January
HH00064,Mobile Charger,6,4.9,3,23,Western,Low,4,2.03,0-20 kWh,180.67,January
HH00065,Water Heater,2745,8.3,3,31,Northern,High,7,2118.87,50+ kWh,781863.03,May
HH00066,Iron,945,7.9,2,30,Southern,Low,4,447.93,50+ kWh,165286.17,December
HH00067,Washing Machine,943,8.4,3,25,Kigali,Low,2,594.09,50+ kWh,219219.21,May
HH00068,Mobile Charger,7,7.1,1,30,Southern,Low,1,1.49,0-20 kWh,132.61,October
HH00069,TV,117,9.5,2,26,Eastern,High,3,57.8,50+ kWh,21328.2,March
HH00070,Mobile Charger,7,7.0,3,23,Northern,Medium,3,3.38,0-20 kWh,300.82,March
HH00071,Washing Machine,557,0.7,3,26,Northern,Low,5,30.41,21-50 kWh,9427.1,July
HH00072,Iron,1094,4.5,1,28,Western,Medium,3,137.84,50+ kWh,50862.96,March
HH00073,Stove,1124,8.3,3,25,Western,Medium,4,699.69,50+ kWh,258185.61,October
HH00074,TV,129,5.9,2,25,Western,Low,1,38.05,21-50 kWh,11795.5,July
HH00075,Water Heater,2672,5.0,3,21,Northern,Medium,8,841.68,50+ kWh,310579.92,December
HH00076,Microwave,1133,5.0,3,22,Western,Low,6,373.89,50+ kWh,137965.41,June
HH00077,Stove,1720,8.9,1,27,Western,High,8,413.32,50+ kWh,152515.08,July
HH00078,Fridge,159,6.0,3,22,Northern,Low,3,62.96,50+ kWh,23232.24,June
HH00079,Radio,23,2.4,2,21,Southern,Medium,5,2.32,0-20 kWh,206.48,October
HH00080,Radio,30,7.5,2,23,Northern,Medium,1,10.35,0-20 kWh,921.15,June
HH00081,Fridge,143,7.0,2,30,Northern,Low,7,60.06,50+ kWh,22162.14,August
HH00082,Radio,40,2.8,3,20,Western,High,3,6.72,0-20 kWh,598.08,August
HH00083,Radio,22,5.2,2,31,Eastern,Medium,3,7.09,0-20 kWh,631.01,June
HH00084,Laptop,60,8.2,2,30,Eastern,Medium,3,29.52,21-50 kWh,9151.2,June
HH00085,Stove,1453,1.8,2,31,Kigali,Low,5,162.15,50+ kWh,59833.35,September
HH00086,Washing Machine,631,8.5,2,28,Kigali,High,3,300.36,50+ kWh,110832.84,October
HH00087,Fan,59,9.0,2,25,Western,High,5,26.55,21-50 kWh,8230.5,December
HH00088,Laptop,63,0.9,3,26,Kigali,Medium,5,4.42,0-20 kWh,393.38,October
HH00089,Fridge,131,9.8,2,28,Eastern,High,3,71.89,50+ kWh,26527.41,April
HH00090,Light Bulb,17,1.9,3,26,Northern,Medium,1,2.52,0-20 kWh,224.28,August
HH00091,Mobile Charger,5,7.4,3,25,Northern,Medium,5,2.77,0-20 kWh,246.53,October
HH00092,TV,130,3.4,1,22,Kigali,Medium,1,9.72,0-20 kWh,865.08,September
HH00093,Fridge,123,6.9,3,21,Western,Low,3,53.47,50+ kWh,19730.43,April
HH00094,Water Heater,2599,2.1,2,30,Eastern,Low,6,327.47,50+ kWh,120836.43,April
HH00095,Fridge,134,5.7,3,29,Western,Medium,4,66.45,50+ kWh,24520.05,June
HH00096,Fridge,187,9.2,2,24,Western,Low,5,82.58,50+ kWh,30472.02,October
HH00097,Fridge,92,2.5,3,30,Kigali,Low,2,20.7,21-50 kWh,6417.0,July
HH00098,Washing Machine,786,4.7,3,31,Eastern,Low,5,343.56,50+ kWh,126773.64,January
HH00099,Water Heater,2177,7.5,2,25,Southern,Low,6,816.38,50+ kWh,301244.22,August
HH00100,Fan,54,5.1,3,21,Northern,Low,7,17.35,0-20 kWh,1544.15,July
HH00101,Mobile Charger,8,7.4,1,31,Northern,Medium,6,1.84,0-20 kWh,163.76,April
HH00102,TV,98,6.6,2,28,Northern,Low,8,36.22,21-50 kWh,11228.2,July
HH00103,TV,91,8.5,3,27,Eastern,High,1,62.65,50+ kWh,23117.85,August
HH00104,Mobile Charger,6,3.8,1,20,Kigali,Medium,3,0.46,0-20 kWh,40.94,July
HH00105,Laptop,67,8.8,1,30,Eastern,High,1,17.69,0-20 kWh,1574.41,June
HH00106,Mobile Charger,10,6.5,3,27,Kigali,Medium,5,5.26,0-20 kWh,468.14,October
HH00107,Radio,43,8.0,2,25,Southern,High,2,17.2,0-20 kWh,1530.8,September
HH00108,Fridge,99,2.2,1,31,Northern,Low,1,6.75,0-20 kWh,600.75,January
HH00109,TV,74,3.2,2,29,Kigali,Low,3,13.73,0-20 kWh,1221.97,March
HH00110,Fridge,119,6.9,3,20,Northern,Low,3,49.27,21-50 kWh,15273.7,September
HH00111,Iron,1133,6.3,2,25,Kigali,Medium,7,356.89,50+ kWh,131692.41,October
HH00112,Light Bulb,10,2.6,2,20,Western,Low,8,1.04,0-20 kWh,92.56,April
HH00113,TV,79,1.5,3,20,Eastern,High,7,7.11,0-20 kWh,632.79,June
HH00114,Light Bulb,10,5.3,3,31,Northern,Medium,7,4.93,0-20 kWh,438.77,September
HH00115,Fridge,124,7.9,3,27,Eastern,Low,4,79.35,50+ kWh,29280.15,March
HH00116,TV,135,1.6,3,20,Western,Medium,5,12.96,0-20 kWh,1153.44,September
HH00117,Water Heater,1904,5.2,2,27,Northern,Low,8,534.64,50+ kWh,197282.16,July
HH00118,Iron,1137,7.3,2,25,Western,Medium,4,415.0,50+ kWh,153135.0,March
HH00119,Fridge,101,4.5,3,27,Kigali,High,6,36.81,21-50 kWh,11411.1,November
HH00120,TV,58,6.8,2,23,Southern,High,8,18.14,0-20 kWh,1614.46,September
HH00121,Light Bulb,13,8.8,1,23,Southern,Medium,2,2.63,0-20 kWh,234.07,February
HH00122,Mobile Charger,7,5.5,1,25,Northern,High,5,0.96,0-20 kWh,85.44,June
HH00123,Fan,52,3.5,2,23,Western,High,3,8.37,0-20 kWh,744.93,July
HH00124,Water Heater,1645,1.0,3,26,Southern,Medium,8,128.31,50+ kWh,47346.39,September
HH00125,Washing Machine,718,7.0,2,26,Kigali,High,3,261.35,50+ kWh,96438.15,May
HH00126,Iron,1012,9.4,1,28,Western,Low,5,266.36,50+ kWh,98286.84,August
HH00127,Iron,1188,2.3,2,28,Western,Medium,3,153.01,50+ kWh,56460.69,February
HH00128,Iron,969,9.3,3,28,Eastern,High,8,756.98,50+ kWh,279325.62,January
HH00129,Microwave,1078,7.3,1,25,Eastern,Low,3,196.74,50+ kWh,72597.06,June
HH00130,Iron,1013,1.0,3,25,Eastern,Medium,7,75.97,50+ kWh,28032.93,February
HH00131,TV,84,2.3,3,31,Northern,Medium,4,17.97,0-20 kWh,1599.33,May
HH00132,Water Heater,1980,9.5,1,22,Western,Low,7,413.82,50+ kWh,152699.58,October
HH00133,Water Heater,2265,3.5,1,22,Northern,Medium,3,174.41,50+ kWh,64357.29,November
HH00134,Radio,20,4.9,2,28,Eastern,Low,3,5.49,0-20 kWh,488.61,July
HH00135,Laptop,35,4.8,3,23,Eastern,High,3,11.59,0-20 kWh,1031.51,May
HH00136,Microwave,1182,7.8,3,26,Kigali,Low,8,719.13,50+ kWh,265358.97,May
HH00137,Fridge,158,9.7,1,26,Western,High,6,39.85,21-50 kWh,12353.5,May
HH00138,Microwave,887,8.9,1,25,Kigali,Low,5,197.36,50+ kWh,72825.84,May
HH00139,Washing Machine,677,7.2,2,26,Western,High,5,253.47,50+ kWh,93530.43,January
HH00140,Water Heater,2931,4.0,1,31,Eastern,High,8,363.44,50+ kWh,134109.36,September
HH00141,Light Bulb,13,7.1,1,29,Southern,Low,2,2.68,0-20 kWh,238.52,May
HH00142,Water Heater,1885,2.6,1,22,Northern,High,7,107.82,50+ kWh,39785.58,April
HH00143,Washing Machine,566,2.1,2,23,Kigali,Low,1,54.68,50+ kWh,20176.92,May
HH00144,Laptop,64,9.8,1,27,Northern,High,4,16.93,0-20 kWh,1506.77,November
HH00145,Laptop,59,3.6,2,27,Kigali,Low,6,11.47,0-20 kWh,1020.83,April
HH00146,Mobile Charger,10,8.7,2,20,Northern,High,3,3.48,0-20 kWh,309.72,July
HH00147,Radio,27,8.7,1,26,Western,Medium,3,6.11,0-20 kWh,543.79,December
HH00148,Fridge,145,9.2,3,22,Eastern,Medium,2,88.04,50+ kWh,32486.76,July
HH00149,Fan,54,6.1,3,24,Kigali,High,1,23.72,21-50 kWh,7353.2,August
HH00150,Light Bulb,19,4.0,2,25,Northern,Low,4,3.8,0-20 kWh,338.2,December
HH00151,Radio,38,2.6,2,27,Kigali,Medium,1,5.34,0-20 kWh,475.26,March
HH00152,TV,74,6.1,2,31,Kigali,Medium,6,27.99,21-50 kWh,8676.9,July
HH00153,Washing Machine,705,4.3,3,29,Southern,Medium,5,263.74,50+ kWh,97320.06,May
HH00154,Radio,41,3.9,2,25,Western,Low,5,8.0,0-20 kWh,712.0,June
HH00155,Light Bulb,19,8.1,1,24,Eastern,High,5,3.69,0-20 kWh,328.41,October
HH00156,TV,124,2.7,3,21,Kigali,Medium,1,21.09,21-50 kWh,6537.9,November
HH00157,Mobile Charger,10,1.7,1,29,Western,High,4,0.49,0-20 kWh,43.61,May
HH00158,Microwave,1200,2.2,3,29,Western,High,4,229.68,50+ kWh,84751.92,April
HH00159,Laptop,69,4.1,3,24,Southern,Medium,1,20.37,21-50 kWh,6314.7,January
HH00160,Washing Machine,563,8.1,3,30,Southern,Medium,1,410.43,50+ kWh,151448.67,March
HH00161,Mobile Charger,9,4.0,3,22,Eastern,High,7,2.38,0-20 kWh,211.82,July
HH00162,Laptop,30,3.5,2,26,Eastern,Low,4,5.46,0-20 kWh,485.94,May
HH00163,Water Heater,2538,4.4,3,30,Western,Medium,8,1005.05,50+ kWh,370863.45,April
HH00164,Mobile Charger,10,4.4,1,23,Southern,Medium,6,1.01,0-20 kWh,89.89,November
HH00165,Mobile Charger,6,9.1,3,29,Eastern,High,1,4.75,0-20 kWh,422.75,February
HH00166,Microwave,969,3.5,1,22,Eastern,High,6,74.61,50+ kWh,27531.09,March
HH00167,Water Heater,2030,2.3,1,26,Kigali,Low,1,121.39,50+ kWh,44792.91,August
HH00168,Water Heater,2936,3.5,1,30,Southern,Medium,5,308.28,50+ kWh,113755.32,June
HH00169,Fan,40,5.2,3,29,Kigali,Low,8,18.1,0-20 kWh,1610.9,September
HH00170,Washing Machine,922,6.0,1,26,Southern,Low,8,143.83,50+ kWh,53073.27,May
HH00171,Radio,42,9.0,1,27,Eastern,High,3,10.21,0-20 kWh,908.69,January
HH00172,Mobile Charger,6,2.8,2,30,Western,High,7,1.01,0-20 kWh,89.89,June
HH00173,Stove,1393,1.8,3,21,Eastern,Low,2,157.97,50+ kWh,58290.93,November
HH00174,Microwave,1024,4.4,2,21,Western,Low,4,189.24,50+ kWh,69829.56,July
HH00175,Washing Machine,900,6.6,1,20,Western,Low,7,118.8,50+ kWh,43837.2,January
HH00176,Stove,1231,6.2,2,28,Northern,Medium,5,427.4,50+ kWh,157710.6,January
HH00177,Washing Machine,554,7.3,1,31,Eastern,Low,3,125.37,50+ kWh,46261.53,February
HH00178,Fan,65,7.1,3,23,Eastern,Medium,4,31.84,21-50 kWh,9870.4,July
HH00179,Light Bulb,13,9.1,2,27,Northern,Medium,8,6.39,0-20 kWh,568.71,November
HH00180,Fan,67,4.8,1,30,Western,High,6,9.65,0-20 kWh,858.85,February
HH00181,Iron,1199,5.7,1,20,Western,Medium,3,136.69,50+ kWh,50438.61,March
HH00182,Radio,23,5.2,1,25,Western,Medium,5,2.99,0-20 kWh,266.11,July
HH00183,Iron,1048,3.3,3,22,Western,Medium,4,228.25,50+ kWh,84224.25,September
HH00184,Mobile Charger,6,9.4,2,28,Western,High,8,3.16,0-20 kWh,281.24,January
HH00185,Light Bulb,16,6.9,1,24,Northern,High,3,2.65,0-20 kWh,235.85,January
HH00186,TV,101,3.5,1,29,Western,Medium,6,10.25,0-20 kWh,912.25,January
HH00187,Iron,1161,8.7,2,30,Northern,High,1,606.04,50+ kWh,223628.76,December
HH00188,Microwave,849,8.3,2,25,Kigali,High,3,352.34,50+ kWh,130013.46,March
HH00189,Water Heater,2678,1.7,1,27,Northern,Low,3,122.92,50+ kWh,45357.48,February
HH00190,Mobile Charger,6,5.5,2,25,Kigali,Low,5,1.65,0-20 kWh,146.85,April
HH00191,TV,86,5.5,2,30,Western,Low,6,28.38,21-50 kWh,8797.8,July
HH00192,Microwave,1064,7.3,3,24,Northern,Low,1,559.24,50+ kWh,206359.56,April
HH00193,Mobile Charger,7,7.3,1,29,Western,Medium,7,1.48,0-20 kWh,131.72,June
HH00194,Fan,74,3.4,1,31,Eastern,High,6,7.8,0-20 kWh,694.2,November
HH00195,Fridge,126,5.3,2,23,Western,Medium,3,30.72,21-50 kWh,9523.2,April
HH00196,TV,115,4.1,3,24,Western,Medium,8,33.95,21-50 kWh,10524.5,April
HH00197,Mobile Charger,9,5.5,3,24,Western,High,3,3.56,0-20 kWh,316.84,January
HH00198,Water Heater,1679,5.6,3,25,Eastern,Medium,7,705.18,50+ kWh,260211.42,September
HH00199,Laptop,64,8.2,3,23,Western,Medium,1,36.21,21-50 kWh,11225.1,December
HH00200,TV,136,9.7,3,23,Kigali,Low,8,91.02,50+ kWh,33586.38,October
HH00201,Mobile Charger,5,7.5,1,25,Southern,Medium,1,0.94,0-20 kWh,83.66,April
HH00202,Fridge,147,2.3,1,23,Eastern,Medium,1,7.78,0-20 kWh,692.42,December
HH00203,TV,50,3.7,1,21,Eastern,Medium,7,3.88,0-20 kWh,345.32,August
HH00204,Fridge,138,4.7,1,26,Northern,Medium,7,16.86,0-20 kWh,1500.54,January
HH00205,Washing Machine,716,6.2,3,23,Western,Low,2,306.3,50+ kWh,113024.7,April
HH00206,Water Heater,2800,2.1,2,28,Eastern,High,4,329.28,50+ kWh,121504.32,May
HH00207,Fan,70,1.0,3,24,Eastern,Low,7,5.04,0-20 kWh,448.56,January
HH00208,TV,101,3.7,3,24,Kigali,High,2,26.91,21-50 kWh,8342.1,March
HH00209,Radio,35,5.7,1,25,Eastern,High,1,4.99,0-20 kWh,444.11,October
HH00210,Light Bulb,17,6.8,1,31,Western,High,1,3.58,0-20 kWh,318.62,November
HH00211,Laptop,30,2.3,3,27,Northern,High,6,5.59,0-20 kWh,497.51,December
HH00212,Fan,51,7.2,1,29,Western,Low,5,10.65,0-20 kWh,947.85,February
HH00213,Water Heater,1978,5.9,1,31,Northern,Medium,1,361.78,50+ kWh,133496.82,March
HH00214,Microwave,1127,8.5,2,31,Northern,Medium,8,593.93,50+ kWh,219160.17,October
HH00215,Laptop,64,2.1,1,24,Northern,High,6,3.23,0-20 kWh,287.47,August
HH00216,Mobile Charger,10,4.9,2,30,Southern,Low,8,2.94,0-20 kWh,261.66,February
HH00217,Water Heater,2107,4.7,1,25,Western,High,2,247.57,50+ kWh,91353.33,May
HH00218,Light Bulb,11,9.6,3,27,Kigali,High,2,8.55,0-20 kWh,760.95,December
HH00219,Washing Machine,957,6.4,2,30,Northern,Medium,8,367.49,50+ kWh,135603.81,September
HH00220,Light Bulb,16,3.5,1,26,Western,Low,2,1.46,0-20 kWh,129.94,December
HH00221,TV,87,2.1,1,20,Kigali,Low,1,3.65,0-20 kWh,324.85,July
HH00222,Mobile Charger,9,9.4,3,31,Eastern,Low,1,7.87,0-20 kWh,700.43,November
HH00223,Stove,1126,4.7,1,21,Kigali,Low,5,111.14,50+ kWh,41010.66,July
HH00224,Water Heater,1806,8.6,3,31,Kigali,Medium,3,1444.44,50+ kWh,532998.36,September
HH00225,Iron,1010,4.1,1,31,Western,Medium,2,128.37,50+ kWh,47368.53,September
HH00226,Washing Machine,550,8.0,2,21,Northern,High,4,184.8,50+ kWh,68191.2,October
HH00227,Water Heater,2647,1.8,1,28,Western,High,5,133.41,50+ kWh,49228.29,November
HH00228,Water Heater,2117,0.9,2,30,Southern,Low,7,114.32,50+ kWh,42184.08,April
HH00229,Stove,1564,8.5,3,30,Eastern,High,1,1196.46,50+ kWh,441493.74,December
HH00230,TV,131,6.2,2,20,Southern,Low,1,32.49,21-50 kWh,10071.9,July
HH00231,Fan,64,7.0,3,31,Western,Medium,6,41.66,21-50 kWh,12914.6,May
HH00232,Radio,48,8.2,3,25,Southern,Medium,7,29.52,21-50 kWh,9151.2,April
HH00233,Fan,45,4.2,3,27,Southern,High,5,15.31,0-20 kWh,1362.59,January
HH00234,TV,120,4.1,1,27,Eastern,Medium,5,13.28,0-20 kWh,1181.92,January
HH00235,Radio,35,0.6,2,20,Kigali,High,1,0.84,0-20 kWh,74.76,March
HH00236,Iron,939,7.5,2,24,Southern,Medium,1,338.04,50+ kWh,124736.76,March
HH00237,Stove,1479,6.6,1,28,Northern,Low,7,273.32,50+ kWh,100855.08,July
HH00238,Fridge,170,3.3,3,30,Eastern,Low,5,50.49,50+ kWh,18630.81,September
HH00239,Light Bulb,15,9.3,1,24,Western,Low,8,3.35,0-20 kWh,298.15,September
HH00240,Light Bulb,20,8.0,3,20,Western,Medium,5,9.6,0-20 kWh,854.4,July
HH00241,Fridge,123,3.6,1,22,Southern,Medium,5,9.74,0-20 kWh,866.86,April
HH00242,Washing Machine,750,4.3,2,23,Northern,Medium,4,148.35,50+ kWh,54741.15,July
HH00243,Iron,1067,4.8,3,28,Kigali,Medium,1,430.21,50+ kWh,158747.49,September
HH00244,Stove,1601,8.6,2,30,Eastern,Low,1,826.12,50+ kWh,304838.28,July
HH00245,Stove,1853,9.6,2,22,Eastern,Medium,6,782.71,50+ kWh,288819.99,May
HH00246,Fridge,86,9.9,2,22,Southern,High,7,37.46,21-50 kWh,11612.6,May
HH00247,Light Bulb,18,8.0,3,26,Northern,Low,6,11.23,0-20 kWh,999.47,April
HH00248,Mobile Charger,6,2.8,1,20,Northern,Low,5,0.34,0-20 kWh,30.26,June
HH00249,Microwave,867,6.4,2,27,Southern,Medium,5,299.64,50+ kWh,110567.16,November
HH00250,Radio,21,0.7,1,21,Southern,Medium,7,0.31,0-20 kWh,27.59,July
HH00251,TV,121,7.2,2,26,Southern,High,7,45.3,21-50 kWh,14043.0,February
HH00252,Fan,66,4.0,3,30,Eastern,Low,7,23.76,21-50 kWh,7365.6,February
HH00253,Fan,43,8.1,3,24,Western,Low,1,25.08,21-50 kWh,7774.8,May
HH00254,Laptop,41,9.8,3,30,Kigali,Low,4,36.16,21-50 kWh,11209.6,May
HH00255,Fridge,160,3.0,2,27,Eastern,Low,3,25.92,21-50 kWh,8035.2,May
HH00256,Radio,28,7.5,3,30,Northern,High,1,18.9,0-20 kWh,1682.1,August
HH00257,Mobile Charger,9,3.5,3,21,Southern,Low,2,1.98,0-20 kWh,176.22,April
HH00258,Microwave,1119,4.4,3,22,Southern,Low,6,324.96,50+ kWh,119910.24,May
HH00259,Stove,1431,5.7,2,23,Southern,Medium,6,375.21,50+ kWh,138452.49,May
HH00260,Laptop,50,7.1,2,31,Northern,Medium,3,22.01,21-50 kWh,6823.1,April
HH00261,Iron,1020,9.8,2,30,Kigali,Low,1,599.76,50+ kWh,221311.44,April
HH00262,Laptop,46,8.7,2,30,Eastern,High,6,24.01,21-50 kWh,7443.1,June
HH00263,Iron,1080,1.8,1,23,Southern,Low,3,44.71,21-50 kWh,13860.1,September
HH00264,Water Heater,2890,5.4,2,28,Southern,Low,7,873.94,50+ kWh,322483.86,May
HH00265,Laptop,69,3.5,2,24,Northern,High,4,11.59,0-20 kWh,1031.51,November
HH00266,TV,88,0.9,3,27,Western,Medium,7,6.42,0-20 kWh,571.38,February
HH00267,Mobile Charger,6,1.1,3,27,Northern,High,1,0.53,0-20 kWh,47.17,May
HH00268,Washing Machine,548,6.7,3,28,Northern,Medium,5,308.41,50+ kWh,113803.29,July
HH00269,TV,147,6.4,2,21,Eastern,Medium,3,39.51,21-50 kWh,12248.1,June
HH00270,Microwave,854,2.0,3,24,Western,Medium,1,122.98,50+ kWh,45379.62,August
HH00271,Mobile Charger,9,0.9,1,31,Southern,Low,6,0.25,0-20 kWh,22.25,September
HH00272,Microwave,894,4.7,3,27,Western,Low,2,340.35,50+ kWh,125589.15,October
HH00273,Microwave,829,6.3,3,30,Southern,High,4,470.04,50+ kWh,173444.76,November
HH00274,TV,93,4.3,1,24,Kigali,High,7,9.6,0-20 kWh,854.4,October
HH00275,Stove,1222,9.8,3,30,Western,High,6,1077.8,50+ kWh,397708.2,June
HH00276,Microwave,1057,4.9,1,26,Western,Low,2,134.66,50+ kWh,49689.54,May
HH00277,Radio,27,1.0,3,22,Kigali,High,4,1.78,0-20 kWh,158.42,December
HH00278,Iron,893,8.6,1,29,Western,High,2,222.71,50+ kWh,82179.99,March
HH00279,Iron,1112,1.7,2,29,Kigali,Low,1,109.64,50+ kWh,40457.16,October
HH00280,Washing Machine,949,7.3,1,25,Northern,High,7,173.19,50+ kWh,63907.11,November
HH00281,Iron,1056,3.9,3,21,Northern,Low,5,259.46,50+ kWh,95740.74,October
HH00282,TV,116,7.0,2,29,Kigali,Low,8,47.1,21-50 kWh,14601.0,October
HH00283,Laptop,68,8.4,1,25,Eastern,Low,2,14.28,0-20 kWh,1270.92,August
HH00284,Water Heater,2421,7.5,1,25,Western,Low,5,453.94,50+ kWh,167503.86,June
HH00285,Laptop,37,5.5,1,23,Kigali,Medium,8,4.68,0-20 kWh,416.52,April
HH00286,Light Bulb,11,4.0,3,21,Eastern,Medium,8,2.77,0-20 kWh,246.53,May
HH00287,Fridge,153,4.8,3,30,Western,High,6,66.1,50+ kWh,24390.9,October
HH00288,Washing Machine,504,7.6,2,23,Northern,Medium,1,176.2,50+ kWh,65017.8,January
